titulo,img_url
Toy Story (1995),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTJzAvb8vFlI_NhQWAKMNDqDLXLBwG7uAtrXpbTiZGq5foib83-
Twelve Monkeys (1995),https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSDTkHN2gqedfDf80j3vyv5DRx5HZKgw3u0h9FW_PjdE-PI2xE_
Dead Man Walking (1995),https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQjld-Awrn_U8cr8LMVJTdMzl-MeJRbw1qzhvGgjdfDuvrl1eKI
"Usual Suspects, The (1995)",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS444S6trRnIa0vOXYJFtoeqA56AyGh7HnRqfotDLyq74dZM5jq
Mr. Holland's Opus (1995),
Braveheart (1995),
"Birdcage, The (1996)",
Apollo 13 (1995),
Star Wars (1977),
Pulp Fiction (1994),
"Shawshank Redemption, The (1994)",
Forrest Gump (1994),
Four Weddings and a Funeral (1994),
"Fugitive, The (1993)",
Jurassic Park (1993),
Blade Runner (1982),
Terminator 2: Judgment Day (1991),
Dances with Wolves (1990),
"Silence of the Lambs, The (1991)",
Fargo (1996),
"Truth About Cats & Dogs, The (1996)",
"Rock, The (1996)",
Twister (1996),
Independence Day (ID4) (1996),
"Godfather, The (1972)",
2001: A Space Odyssey (1968),
Willy Wonka and the Chocolate Factory (1971),
Monty Python and the Holy Grail (1974),
"Empire Strikes Back, The (1980)",
"Princess Bride, The (1987)",
Raiders of the Lost Ark (1981),
Aliens (1986),
Return of the Jedi (1983),
Alien (1979),
"Blues Brothers, The (1980)",
Amadeus (1984),
"Terminator, The (1984)",
Dead Poets Society (1989),
Groundhog Day (1993),
Back to the Future (1985),
Indiana Jones and the Last Crusade (1989),
When Harry Met Sally... (1989),
Star Trek: First Contact (1996),
Jaws (1975),
Jerry Maguire (1996),
Raising Arizona (1987),
Men in Black (1997),
Contact (1997),
"Full Monty, The (1997)",
Sense and Sensibility (1995),
Leaving Las Vegas (1995),
"English Patient, The (1996)",
Scream (1996),
Evita (1996),
Liar Liar (1997),
Air Force One (1997),
L.A. Confidential (1997),
Titanic (1997),
Schindler's List (1993),
Conspiracy Theory (1997),
"Game, The (1997)",
One Flew Over the Cuckoo's Nest (1975),
Mission: Impossible (1996),
E.T. the Extra-Terrestrial (1982),
Broken Arrow (1996),
Ransom (1996),
"Saint, The (1997)",
